| schemaname | tablename           | policyname                                            | permissive | roles                | cmd    | qual                                                                                            | with_check                                                                                      |
| ---------- | ------------------- | ----------------------------------------------------- | ---------- | -------------------- | ------ | ----------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------------------------------- |
| public     | admission_enquiries | Admins can read admission enquiries                   | PERMISSIVE | {authenticated}      | SELECT | is_admin()                                                                                      | null                                                                                            |
| public     | admission_enquiries | Admins can update admission enquiries                 | PERMISSIVE | {authenticated}      | UPDATE | is_admin()                                                                                      | is_admin()                                                                                      |
| public     | admission_enquiries | Anyone can submit admission enquiries                 | PERMISSIVE | {anon,authenticated} | INSERT | null                                                                                            | true                                                                                            |
| public     | class_materials     | Admins can delete class materials                     | PERMISSIVE | {authenticated}      | DELETE | is_admin()                                                                                      | null                                                                                            |
| public     | class_materials     | Admins can insert class materials                     | PERMISSIVE | {authenticated}      | INSERT | null                                                                                            | is_admin()                                                                                      |
| public     | class_materials     | Admins can update class materials                     | PERMISSIVE | {authenticated}      | UPDATE | is_admin()                                                                                      | is_admin()                                                                                      |
| public     | class_materials     | Faculty can delete own class materials                | PERMISSIVE | {authenticated}      | DELETE | (is_faculty() AND (uploaded_by = auth.uid()) AND (class_number = get_faculty_assigned_class())) | null                                                                                            |
| public     | class_materials     | Faculty can insert class materials for assigned class | PERMISSIVE | {authenticated}      | INSERT | null                                                                                            | (is_faculty() AND (class_number = get_faculty_assigned_class()) AND (uploaded_by = auth.uid())) |
| public     | class_materials     | Public read class materials                           | PERMISSIVE | {anon,authenticated} | SELECT | true                                                                                            | null                                                                                            |
| public     | faculty_members     | Admins can delete faculty members                     | PERMISSIVE | {authenticated}      | DELETE | is_admin()                                                                                      | null                                                                                            |
| public     | faculty_members     | Admins can insert faculty members                     | PERMISSIVE | {authenticated}      | INSERT | null                                                                                            | is_admin()                                                                                      |
| public     | faculty_members     | Admins can read all faculty members                   | PERMISSIVE | {authenticated}      | SELECT | is_admin()                                                                                      | null                                                                                            |
| public     | faculty_members     | Admins can update faculty members                     | PERMISSIVE | {authenticated}      | UPDATE | is_admin()                                                                                      | is_admin()                                                                                      |
| public     | faculty_members     | Public read faculty members                           | PERMISSIVE | {anon,authenticated} | SELECT | (is_active = true)                                                                              | null                                                                                            |
| public     | faculty_profiles    | Admins can delete faculty profiles                    | PERMISSIVE | {authenticated}      | DELETE | is_admin()                                                                                      | null                                                                                            |
| public     | faculty_profiles    | Admins can insert faculty profiles                    | PERMISSIVE | {authenticated}      | INSERT | null                                                                                            | is_admin()                                                                                      |
| public     | faculty_profiles    | Admins can read all faculty profiles                  | PERMISSIVE | {authenticated}      | SELECT | is_admin()                                                                                      | null                                                                                            |
| public     | faculty_profiles    | Admins can update faculty profiles                    | PERMISSIVE | {authenticated}      | UPDATE | is_admin()                                                                                      | is_admin()                                                                                      |
| public     | faculty_profiles    | Faculty can read own profile                          | PERMISSIVE | {authenticated}      | SELECT | ((user_id = auth.uid()) AND is_faculty())                                                       | null                                                                                            |
| public     | gallery_images      | Admins can delete gallery images                      | PERMISSIVE | {authenticated}      | DELETE | is_admin()                                                                                      | null                                                                                            |
| public     | gallery_images      | Admins can insert gallery images                      | PERMISSIVE | {authenticated}      | INSERT | null                                                                                            | is_admin()                                                                                      |
| public     | gallery_images      | Admins can read all gallery images                    | PERMISSIVE | {authenticated}      | SELECT | is_admin()                                                                                      | null                                                                                            |
| public     | gallery_images      | Admins can update gallery images                      | PERMISSIVE | {authenticated}      | UPDATE | is_admin()                                                                                      | is_admin()                                                                                      |
| public     | gallery_images      | Public read gallery images                            | PERMISSIVE | {anon,authenticated} | SELECT | (is_active = true)                                                                              | null                                                                                            |
| public     | users               | Users can read own profile                            | PERMISSIVE | {authenticated}      | SELECT | (auth.uid() = id)                                                                               | null                                                                                            |
